[m/s],lowland,upland,offshore,avg_lowland_upland,offshore_2030,lowland_2030,upland_2030,avg_lowland_upland_upward_adjustment
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.01,0.0,0.005,0.0,0.0,0.01,0.0
2,0.0,0.02,0.0,0.01,0.0,0.01,0.02,0.0
3,0.01,0.03,0.01,0.02,0.01,0.02,0.05,0.02
4,0.03,0.06,0.02,0.045,0.02,0.04,0.08,0.045
5,0.06,0.1,0.05,0.08,0.05,0.08,0.13,0.08
6,0.11,0.15,0.08,0.13,0.08,0.14,0.2,0.13
7,0.17,0.21,0.14,0.19,0.14,0.22,0.29,0.192
8,0.25,0.3,0.2,0.275,0.2,0.33,0.39,0.31000000000000005
9,0.35,0.39,0.29,0.37,0.29,0.48,0.49,0.445
10,0.47,0.49,0.4,0.48,0.4,0.62,0.59,0.605
11,0.6,0.58,0.53,0.59,0.53,0.75,0.68,0.725
12,0.72,0.67,0.64,0.695,0.64,0.85,0.77,0.82
13,0.81,0.75,0.76,0.78,0.76,0.92,0.84,0.88
14,0.88,0.82,0.84,0.85,0.84,0.94,0.89,0.9199999999999999
15,0.92,0.87,0.89,0.895,0.89,0.94,0.93,0.9400000000000001
16,0.94,0.91,0.89,0.925,0.89,0.94,0.94,0.9550000000000001
17,0.94,0.91,0.89,0.925,0.89,0.94,0.94,0.9550000000000001
18,0.94,0.88,0.89,0.91,0.89,0.94,0.94,0.9400000000000001
19,0.9,0.82,0.89,0.86,0.89,0.94,0.94,0.89
20,0.83,0.73,0.83,0.78,0.89,0.94,0.94,0.805
21,0.72,0.63,0.71,0.675,0.89,0.94,0.94,0.675
22,0.56,0.52,0.54,0.54,0.89,0.94,0.92,0.54
23,0.38,0.42,0.36,0.4,0.89,0.94,0.88,0.4
24,0.23,0.31,0.18,0.27,0.89,0.9,0.82,0.27
25,0.11,0.21,0.06,0.16,0.83,0.83,0.73,0.16
26,0.04,0.13,0.0,0.085,0.71,0.72,0.63,0.085
27,0.0,0.06,0.0,0.03,0.54,0.56,0.52,0.03
28,0.0,0.02,0.0,0.01,0.36,0.38,0.42,0.01
29,0.0,0.0,0.0,0.0,0.18,0.23,0.31,0.0
30,0.0,0.0,0.0,0.0,0.06,0.11,0.21,0.0
31,0.0,0.0,0.0,0.0,0.0,0.04,0.13,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
